invoice_id,vendor_id,vendor,vendor_invoice_number,invoice_date,due_date,amount,currency,po_id,status,paid_date,period,description,journal_id
HAP-2025-10-0001,VEND-002,Amazon Web Services,AMA-2025-10-0001,2025-10-02,2025-11-01,30.11,USD,HPO-2025-10-0001,PAID,2025-10-20,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0001
HAP-2025-10-0002,VEND-006,Datadog,DAT-2025-10-0002,2025-10-02,2025-11-01,7200.22,USD,HPO-2025-10-0002,PAID,2025-10-20,2025-10,premium support 2025-10,JE-HAP-2025-10-0002
HAP-2025-10-0003,VEND-011,Hartford Insurance,HAR-2025-10-0003,2025-10-02,2025-11-01,231.33,USD,HPO-2025-10-0003,PAID,2025-10-20,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0003
HAP-2025-10-0004,VEND-015,Harbor Electric,HAR-2025-10-0004,2025-10-02,2025-11-01,96.44,USD,HPO-2025-10-0004,PAID,2025-10-20,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0004
HAP-2025-10-0005,VEND-019,Freightline Logistics,FRE-2025-10-0005,2025-10-02,2025-11-01,150.55,USD,HPO-2025-10-0005,PAID,2025-10-20,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0005
HAP-2025-10-0006,VEND-023,Notion Labs,NOT-2025-10-0006,2025-10-02,2025-11-01,1800.66,USD,HPO-2025-10-0006,PAID,2025-10-20,2025-10,premium support 2025-10,JE-HAP-2025-10-0006
HAP-2025-10-0007,VEND-027,Zoom Video,ZOO-2025-10-0007,2025-10-02,2025-11-01,116.27,USD,HPO-2025-10-0007,PAID,2025-10-20,2025-10,warehouse consumables 2025-10,JE-HAP-2025-10-0007
HAP-2025-10-0008,VEND-031,Helios Hardware Supply,HEL-2025-10-0008,2025-10-02,2025-11-01,60.88,USD,HPO-2025-10-0008,PAID,2025-10-20,2025-10,security monitoring hosts 2025-10,JE-HAP-2025-10-0008
HAP-2025-10-0009,VEND-035,ADP,ADP-2025-10-0009,2025-10-02,2025-11-01,105.99,USD,HPO-2025-10-0009,PAID,2025-10-20,2025-10,usage overage block 2025-10,JE-HAP-2025-10-0009
HAP-2025-10-0010,VEND-039,CleanRoom Janitorial,CLE-2025-10-0010,2025-10-02,2025-11-01,16201.1,USD,HPO-2025-10-0010,PAID,2025-10-20,2025-10,premium support 2025-10,JE-HAP-2025-10-0010
