transaction_id,bank_account,date,amount_minor,amount,currency,counterparty,reference,description,period
TXN-HIST-2025-10-0001,BANK-OPERATING,2025-10-01,94100,941.0,USD,Acme Supplies LLC,HIST-0001,IN Acme Supplies LLC,2025-10
TXN-HIST-2025-10-0002,BANK-OPERATING,2025-10-01,-98200,-982.0,USD,Amazon Web Services,HIST-0002,OUT Amazon Web Services,2025-10
TXN-HIST-2025-10-0003,BANK-OPERATING,2025-10-01,-102300,-1023.0,USD,Office Depot,HIST-0003,OUT Office Depot,2025-10
TXN-HIST-2025-10-0004,BANK-PAYROLL,2025-10-01,-106400,-1064.0,USD,Datadog,HIST-0004,OUT Datadog,2025-10
TXN-HIST-2025-10-0005,BANK-OPERATING,2025-10-01,-110500,-1105.0,USD,Figma,HIST-0005,OUT Figma,2025-10
TXN-HIST-2025-10-0006,BANK-OPERATING,2025-10-01,-114600,-1146.0,USD,Hartford Insurance,HIST-0006,OUT Hartford Insurance,2025-10
TXN-HIST-2025-10-0007,BANK-OPERATING,2025-10-01,-118700,-1187.0,USD,Cambridge Properties,HIST-0007,OUT Cambridge Properties,2025-10
TXN-HIST-2025-10-0008,BANK-OPERATING,2025-10-02,122800,1228.0,USD,Slack Technologies,HIST-0008,IN Slack Technologies,2025-10
TXN-HIST-2025-10-0009,BANK-OPERATING,2025-10-02,-126900,-1269.0,USD,Google Cloud,HIST-0009,OUT Google Cloud,2025-10
TXN-HIST-2025-10-0010,BANK-OPERATING,2025-10-02,-131000,-1310.0,USD,Orbit Analytics,HIST-0010,OUT Orbit Analytics,2025-10
TXN-HIST-2025-10-0011,BANK-PAYROLL,2025-10-02,-135100,-1351.0,USD,Dell Technologies,HIST-0011,OUT Dell Technologies,2025-10
TXN-HIST-2025-10-0012,BANK-OPERATING,2025-10-02,-139200,-1392.0,USD,Lindholm & Ruiz LLP,HIST-0012,OUT Lindholm & Ruiz LLP,2025-10
TXN-HIST-2025-10-0013,BANK-OPERATING,2025-10-02,-143300,-1433.0,USD,Shadow Vendor LLC,HIST-0013,OUT Shadow Vendor LLC,2025-10
TXN-HIST-2025-10-0014,BANK-OPERATING,2025-10-02,-147400,-1474.0,USD,Lenovo,HIST-0014,OUT Lenovo,2025-10
TXN-HIST-2025-10-0015,BANK-OPERATING,2025-10-03,151500,1515.0,USD,Harbor Electric,HIST-0015,IN Harbor Electric,2025-10
TXN-HIST-2025-10-0016,BANK-OPERATING,2025-10-03,-155600,-1556.0,USD,GitHub,HIST-0016,OUT GitHub,2025-10
TXN-HIST-2025-10-0017,BANK-OPERATING,2025-10-03,-159700,-1597.0,USD,Freightline Logistics,HIST-0017,OUT Freightline Logistics,2025-10
TXN-HIST-2025-10-0018,BANK-PAYROLL,2025-10-03,-163800,-1638.0,USD,Misc Supplies,HIST-0018,OUT Misc Supplies,2025-10
TXN-HIST-2025-10-0019,BANK-OPERATING,2025-10-03,-167900,-1679.0,USD,Notion Labs,HIST-0019,OUT Notion Labs,2025-10
TXN-HIST-2025-10-0020,BANK-OPERATING,2025-10-03,-172000,-1720.0,USD,Okta,HIST-0020,OUT Okta,2025-10
TXN-HIST-2025-10-0021,BANK-OPERATING,2025-10-03,-176100,-1761.0,USD,Zoom Video,HIST-0021,OUT Zoom Video,2025-10
TXN-HIST-2025-10-0022,BANK-OPERATING,2025-10-04,180200,1802.0,USD,Twilio,HIST-0022,IN Twilio,2025-10
TXN-HIST-2025-10-0023,BANK-OPERATING,2025-10-04,-184300,-1843.0,USD,Snowflake,HIST-0023,OUT Snowflake,2025-10
TXN-HIST-2025-10-0024,BANK-OPERATING,2025-10-04,-188400,-1884.0,USD,CrowdStrike,HIST-0024,OUT CrowdStrike,2025-10
TXN-HIST-2025-10-0025,BANK-PAYROLL,2025-10-04,-192500,-1925.0,USD,Atlassian,HIST-0025,OUT Atlassian,2025-10
TXN-HIST-2025-10-0026,BANK-OPERATING,2025-10-04,-196600,-1966.0,USD,Northline Fab Group,HIST-0026,OUT Northline Fab Group,2025-10
TXN-HIST-2025-10-0027,BANK-OPERATING,2025-10-04,-200700,-2007.0,USD,Harbor Power & Light,HIST-0027,OUT Harbor Power & Light,2025-10
TXN-HIST-2025-10-0028,BANK-OPERATING,2025-10-04,-204800,-2048.0,USD,FedEx,HIST-0028,OUT FedEx,2025-10
TXN-HIST-2025-10-0029,BANK-OPERATING,2025-10-05,208900,2089.0,USD,Cloudflare,HIST-0029,IN Cloudflare,2025-10
TXN-HIST-2025-10-0030,BANK-OPERATING,2025-10-05,-213000,-2130.0,USD,Helios Hardware Supply,HIST-0030,OUT Helios Hardware Supply,2025-10
TXN-HIST-2025-10-0031,BANK-OPERATING,2025-10-05,-217100,-2171.0,USD,Staples Business Advantage,HIST-0031,OUT Staples Business Advantage,2025-10
TXN-HIST-2025-10-0032,BANK-PAYROLL,2025-10-05,-221200,-2212.0,USD,ADP,HIST-0032,OUT ADP,2025-10
TXN-HIST-2025-10-0033,BANK-OPERATING,2025-10-05,-225300,-2253.0,USD,Comcast Business,HIST-0033,OUT Comcast Business,2025-10
TXN-HIST-2025-10-0034,BANK-OPERATING,2025-10-05,-229400,-2294.0,USD,CleanRoom Janitorial,HIST-0034,OUT CleanRoom Janitorial,2025-10
