psp_reference,merchant,customer_id,customer_name,card_scheme,year,hour_of_day,minute_of_hour,day_of_year,is_credit,usd_amount,amount_minor,currency,ip_country,issuing_country,device_type,shopper_interaction,has_fraudulent_dispute,is_refused_by_adyen,processor,settled_date
MX-100000001,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,1,3,275,False,25.13,2513,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-02
MX-100000002,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,2,6,276,False,32.26,3226,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-03
MX-100000003,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,3,9,277,False,39.39,3939,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-04
MX-100000004,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,4,12,278,False,46.52,4652,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-05
MX-100000005,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,5,15,279,False,53.65,5365,USD,US,US,MacOS,Ecommerce,False,False,adyen,2025-10-06
MX-100000006,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2025,6,18,280,False,60.78,6078,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-07
MX-100000007,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2025,7,21,281,False,67.91,6791,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-08
MX-100000008,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2025,8,24,282,False,75.04,7504,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-09
MX-100000009,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2025,9,27,283,False,82.17,8217,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-10
MX-100000010,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,10,30,284,False,89.3,8930,USD,US,US,iOS,Ecommerce,False,False,adyen,2025-10-11
MX-100000011,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,11,33,285,False,96.43,9643,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-12
MX-100000012,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,12,36,286,False,103.56,10356,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-13
MX-100000013,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,13,39,287,False,110.69,11069,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-14
MX-100000014,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,14,42,288,False,117.82,11782,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-15
MX-100000015,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,15,45,289,False,124.95,12495,USD,US,US,Android,Ecommerce,False,False,adyen,2025-10-16
MX-100000016,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,16,48,290,False,132.08,13208,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-17
MX-100000017,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,17,51,291,True,139.21,13921,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-18
MX-100000018,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,18,54,292,False,146.34,14634,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-19
MX-100000019,Maximor Demo Corp,CUST-005,Quiet Harbor,Amex,2025,19,57,293,False,153.47,15347,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-20
MX-100000020,Maximor Demo Corp,CUST-006,Pinnacle Retail,Visa,2025,20,0,294,False,160.6,16060,USD,US,US,Windows,Ecommerce,False,False,adyen,2025-10-21
MX-100000021,Maximor Demo Corp,CUST-007,Atlas Robotics,Mastercard,2025,21,3,295,False,167.73,16773,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-22
MX-100000022,Maximor Demo Corp,CUST-008,Lumen Labs,NexPay,2025,22,6,296,False,174.86,17486,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-23
MX-100000023,Maximor Demo Corp,CUST-009,Northstar LLC,GlobalCard,2025,23,9,297,False,181.99,18199,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-24
MX-100000024,Maximor Demo Corp,CUST-010,Meridian Health,Amex,2025,0,12,298,False,189.12,18912,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-25
MX-100000025,Maximor Demo Corp,CUST-011,Beacon Biotech,Visa,2025,1,15,299,False,196.25,19625,USD,US,US,MacOS,Ecommerce,False,False,adyen,2025-10-26
MX-100000026,Maximor Demo Corp,CUST-012,Copperline Logistics,Mastercard,2025,2,18,300,False,203.38,20338,USD,US,US,iOS,Ecommerce,False,False,stripe,2025-10-27
MX-100000027,Maximor Demo Corp,CUST-013,Summit Civic,NexPay,2025,3,21,301,False,210.51,21051,USD,US,US,Android,Ecommerce,False,False,stripe,2025-10-28
MX-100000028,Maximor Demo Corp,CUST-014,Redwood Clinics,GlobalCard,2025,4,24,302,False,217.64,21764,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-10-29
MX-100000029,Maximor Demo Corp,CUST-015,Ironclad Software,Amex,2025,5,27,303,False,224.77,22477,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-10-30
MX-100000030,Maximor Demo Corp,CUST-001,Northwind Labs,Visa,2025,6,30,304,False,231.9,23190,USD,US,US,iOS,Ecommerce,False,False,adyen,2025-10-31
MX-100000031,Maximor Demo Corp,CUST-002,Helios Analytics,Mastercard,2025,7,33,305,False,239.03,23903,USD,US,US,Android,Ecommerce,False,False,stripe,2025-11-01
MX-100000032,Maximor Demo Corp,CUST-003,Acme Industrial,NexPay,2025,8,36,306,False,246.16,24616,USD,US,US,Windows,Ecommerce,False,False,stripe,2025-11-02
MX-100000033,Maximor Demo Corp,CUST-004,Brightline Media,GlobalCard,2025,9,39,307,False,253.29,25329,USD,US,US,MacOS,Ecommerce,False,False,stripe,2025-11-03
